Ano;Ação;Dotação Atual (R$)
2022;NOVO FUNDEB;34303559937.0
2022;COTA SALÁRIO-EDUCAÇÃO;16874220694.0
2022;CONCESSÃO FIES;5529297168.0
2022;DEMAIS AÇÕES;4245469996.0
2022;PNAE;3615336082.0
2022;PDDE;2029695693.0
2022;PNLD;1773492069.0
2022;PNATE;772038385.0
2022;ADMINISTRAÇÃO FIES;626533070.0
2022;INFRAESTRUTURA EB;618809709.0
2022;FGEDUC;500000000.0
2022;DESENVOLVIMENTO EB;391714408.0
2022;RESERVA CONTINGÊNCIA;313908770.0
2022;IMPLANTAÇÃO DE ESCOLAS EI;308455609.0
2022;CAMINHO DA ESCOLA;13095398.0
2023;NOVO FUNDEB;38938876013.0
2023;COTA SALÁRIO-EDUCAÇÃO;18579589470.0
2023;PNAE;5354597551.0
2023;CONCESSÃO FIES;4799159300.0
2023;RESERVA CONTINGÊNCIA;3746552226.0
2023;DESENVOLVIMENTO EB;2667274261.0
2023;PNLD;2427613749.0
2023;PDDE;2032939594.0
2023;DEMAIS AÇÕES;1010052578.0
2023;PNATE;872038385.0
2023;INFRAESTRUTURA EB;859946306.0
2023;ADMINISTRAÇÃO FIES;616234214.0
2023;FGEDUC;500000000.0
2023;IMPLANTAÇÃO DE ESCOLAS EI;455756539.0
2023;CAMINHO DA ESCOLA;212611777.0
2024;NOVO FUNDEB;49383254552.0
2024;COTA SALÁRIO-EDUCAÇÃO;20131620770.0
2024;CONCESSÃO FIES;6415856564.0
2024;PNAE;5389701993.0
2024;RESERVA CONTINGÊNCIA;5051304009.0
2024;PNLD;2139574212.0
2024;PDDE;2045021842.0
2024;INFRAESTRUTURA EB;1794567664.0
2024;DEMAIS AÇÕES;1410823982.0
2024;IMPLANTAÇÃO DE ESCOLAS EI;1125717460.0
2024;DESENVOLVIMENTO EB;838923494.0
2024;PNATE;836163858.0
2024;CAMINHO DA ESCOLA;832520961.0
2024;FGEDUC;500000000.0
2024;ADMINISTRAÇÃO FIES;461454303.0
